Learning Rate,Epoch,Accuracy
0.001,1,56.93
0.001,2,64.25
0.001,3,67.02
0.001,4,66.89
0.001,5,69.29
0.001,6,69.13
0.001,7,67.83
0.001,8,67.77
0.001,9,67.63
0.001,10,67.15
0.001,11,67.2
0.001,12,67.08
0.001,13,67.54
0.001,14,67.57
0.001,15,66.74
0.001,16,66.83
0.001,17,67.11
0.001,18,66.67
0.001,19,66.77
0.001,20,66.79
0.001,21,66.31
0.001,22,66.09
0.001,23,67.1
0.001,24,66.89
0.001,25,65.87
0.001,26,67.33
0.001,27,65.97
0.001,28,66.89
0.001,29,66.05
0.001,30,66.14
0.01,1,10.0
0.01,2,10.0
0.01,3,10.0
0.01,4,10.0
0.01,5,10.0
0.01,6,10.0
0.01,7,10.0
0.01,8,10.0
0.01,9,10.0
0.01,10,10.0
0.01,11,10.0
0.01,12,10.0
0.01,13,10.0
0.01,14,10.0
0.01,15,10.0
0.01,16,10.0
0.01,17,10.0
0.01,18,10.0
0.01,19,10.0
0.01,20,10.0
0.01,21,10.0
0.01,22,10.0
0.01,23,10.0
0.01,24,10.0
0.01,25,10.0
0.01,26,10.0
0.01,27,10.0
0.01,28,10.0
0.01,29,10.0
0.01,30,10.0
0.05,1,10.0
0.05,2,10.0
0.05,3,10.0
0.05,4,10.0
0.05,5,10.0
0.05,6,10.0
0.05,7,10.0
0.05,8,10.0
0.05,9,10.0
0.05,10,10.0
0.05,11,10.0
0.05,12,10.0
0.05,13,10.0
0.05,14,10.0
0.05,15,10.0
0.05,16,10.0
0.05,17,10.0
0.05,18,10.0
0.05,19,10.0
0.05,20,10.0
0.05,21,10.0
0.05,22,10.0
0.05,23,10.0
0.05,24,10.0
0.05,25,10.0
0.05,26,10.0
0.05,27,10.0
0.05,28,10.0
0.05,29,10.0
0.05,30,10.0
0.1,1,10.0
0.1,2,10.0
0.1,3,10.0
0.1,4,10.0
0.1,5,10.0
0.1,6,10.0
0.1,7,10.0
0.1,8,10.0
0.1,9,10.0
0.1,10,10.0
0.1,11,10.0
0.1,12,10.0
0.1,13,10.0
0.1,14,10.0
0.1,15,10.0
0.1,16,10.0
0.1,17,10.0
0.1,18,10.0
0.1,19,10.0
0.1,20,10.0
0.1,21,10.0
0.1,22,10.0
0.1,23,10.0
0.1,24,10.0
0.1,25,10.0
0.1,26,10.0
0.1,27,10.0
0.1,28,10.0
0.1,29,10.0
0.1,30,10.0
