Learning Rate,Epoch,Accuracy
0.001,1,10.13
0.001,2,10.0
0.001,3,10.57
0.001,4,13.47
0.001,5,18.29
0.001,6,20.99
0.001,7,27.57
0.001,8,29.65
0.001,9,30.84
0.001,10,31.75
0.001,11,32.05
0.001,12,28.81
0.001,13,33.71
0.001,14,34.44
0.001,15,34.17
0.001,16,35.8
0.001,17,36.26
0.001,18,36.94
0.001,19,37.49
0.001,20,37.82
0.001,21,37.7
0.001,22,40.31
0.001,23,37.8
0.001,24,40.28
0.001,25,42.21
0.001,26,41.31
0.001,27,44.31
0.001,28,42.19
0.001,29,44.72
0.001,30,44.07
0.01,1,26.72
0.01,2,34.22
0.01,3,34.81
0.01,4,39.61
0.01,5,43.33
0.01,6,46.4
0.01,7,51.92
0.01,8,51.9
0.01,9,52.75
0.01,10,45.09
0.01,11,50.05
0.01,12,54.52
0.01,13,53.58
0.01,14,56.26
0.01,15,57.4
0.01,16,57.27
0.01,17,58.73
0.01,18,58.63
0.01,19,55.73
0.01,20,56.2
0.01,21,57.48
0.01,22,60.36
0.01,23,60.22
0.01,24,56.48
0.01,25,59.17
0.01,26,56.88
0.01,27,58.94
0.01,28,58.7
0.01,29,56.42
0.01,30,58.29
0.05,1,34.26
0.05,2,43.41
0.05,3,52.72
0.05,4,52.58
0.05,5,58.14
0.05,6,60.07
0.05,7,54.29
0.05,8,62.64
0.05,9,60.2
0.05,10,62.17
0.05,11,62.47
0.05,12,62.68
0.05,13,64.07
0.05,14,63.13
0.05,15,64.02
0.05,16,63.73
0.05,17,64.2
0.05,18,62.3
0.05,19,60.52
0.05,20,64.23
0.05,21,64.44
0.05,22,64.22
0.05,23,64.76
0.05,24,64.91
0.05,25,64.53
0.05,26,64.34
0.05,27,63.74
0.05,28,58.68
0.05,29,64.1
0.05,30,63.44
0.1,1,41.2
0.1,2,46.58
0.1,3,55.61
0.1,4,54.13
0.1,5,49.93
0.1,6,61.29
0.1,7,49.88
0.1,8,62.74
0.1,9,62.18
0.1,10,62.92
0.1,11,59.96
0.1,12,56.41
0.1,13,63.53
0.1,14,61.41
0.1,15,63.58
0.1,16,58.93
0.1,17,61.45
0.1,18,63.65
0.1,19,63.62
0.1,20,63.15
0.1,21,63.57
0.1,22,62.75
0.1,23,64.16
0.1,24,63.62
0.1,25,63.88
0.1,26,64.8
0.1,27,63.9
0.1,28,64.61
0.1,29,64.34
0.1,30,64.65
