,time,accuracy
0,7.9504008293151855,88.68
1,16.891214609146118,91.78
2,25.811935663223267,92.94
3,34.74069166183472,93.83
4,43.67031788825989,94.73
5,52.58865690231323,95.14
6,61.50466060638428,95.76
7,70.40595626831055,96.03
8,79.30536794662476,96.27
9,88.21232676506042,96.77
10,97.11623215675354,96.83
11,106.01558208465576,97.14
12,114.90939497947693,97.29
13,123.80390572547913,97.25
14,132.69293785095215,97.45
15,141.57962822914124,97.48
16,150.46584391593933,97.72
17,159.34693574905396,97.61
18,168.2284836769104,97.72
19,177.10904955863953,97.8
20,185.98530101776123,97.9
21,194.86176419258118,97.97
22,203.73203015327454,97.93
23,212.60216736793518,97.98
24,221.47293210029602,97.92
25,230.34857177734375,98.09
26,239.22802233695984,98.11
27,248.1068103313446,98.08
28,256.98932003974915,98.11
29,265.87679839134216,98.17
