0.8
Epoch 1: Train Loss 0.014539331943437447, Test Loss 1.0938535478119478, Test Accuracy 60.99416103257529, Dropout Probability 0.3
Using downloaded and verified file: ../data/train_32x32.mat
Using downloaded and verified file: ../data/test_32x32.mat
Starting training at: 1716314186.1128
Epoch 2: Train Loss 0.005988306088062688, Test Loss 0.5583305605071852, Test Accuracy 82.62907191149354, Dropout Probability 0.1
Epoch 2: Train Loss 0.006046302530655757, Test Loss 0.5506489712106134, Test Accuracy 82.5560848186847, Dropout Probability 0.3
Epoch 1: Train Loss 0.015503539918904508, Test Loss 1.575105921505563, Test Accuracy 42.551475107559924, Dropout Probability 0.8
Epoch 3: Train Loss 0.003452171362486047, Test Loss 0.4064029782699088, Test Accuracy 87.63060848186846, Dropout Probability 0.1
Epoch 3: Train Loss 0.0035140590989957616, Test Loss 0.3926073776554607, Test Accuracy 88.1261524277812, Dropout Probability 0.3
Epoch 2: Train Loss 0.009594183888558972, Test Loss 0.808370416708057, Test Accuracy 73.37123540258143, Dropout Probability 0.8
Epoch 4: Train Loss 0.0026502116280118742, Test Loss 0.35583659631017533, Test Accuracy 89.25553165334972, Dropout Probability 0.1
Epoch 4: Train Loss 0.0026507894727777806, Test Loss 0.361210409233595, Test Accuracy 88.94053472649047, Dropout Probability 0.3
Epoch 3: Train Loss 0.005086651073863905, Test Loss 0.4762230757635359, Test Accuracy 85.5639213275968, Dropout Probability 0.8
Epoch 5: Train Loss 0.0021628595550243148, Test Loss 0.32404184136276387, Test Accuracy 90.40027658266749, Dropout Probability 0.1
Epoch 5: Train Loss 0.002173786195826761, Test Loss 0.3171865238173285, Test Accuracy 90.46558082360173, Dropout Probability 0.3
Epoch 4: Train Loss 0.003390295713985754, Test Loss 0.4874232438127908, Test Accuracy 85.23740012292564, Dropout Probability 0.8
Epoch 6: Train Loss 0.0018114526505342177, Test Loss 0.3043518400514646, Test Accuracy 90.98417332513829, Dropout Probability 0.1
Epoch 6: Train Loss 0.0018101511167796789, Test Loss 0.2962107189462166, Test Accuracy 91.28380454824831, Dropout Probability 0.3
Epoch 5: Train Loss 0.002735983281695049, Test Loss 0.3658569086235436, Test Accuracy 89.49754148740013, Dropout Probability 0.8
Epoch 7: Train Loss 0.0015218663066049946, Test Loss 0.3030278394027363, Test Accuracy 91.14935464044254, Dropout Probability 0.1
Epoch 7: Train Loss 0.00154698863009196, Test Loss 0.2882130569523657, Test Accuracy 91.60264290104487, Dropout Probability 0.3
Epoch 6: Train Loss 0.002334111843365492, Test Loss 0.31450416181595986, Test Accuracy 91.24539028887523, Dropout Probability 0.8
Epoch 8: Train Loss 0.0012947869824601107, Test Loss 0.3001410947962634, Test Accuracy 91.51429010448679, Dropout Probability 0.3
