Epoch,Test Loss,Test Accuracy
1,2.302884765625,10.0
2,2.3029928955078125,10.0
3,2.302895751953125,10.0
4,2.302963720703125,10.0
5,2.3040924072265625,10.0
6,2.3029855712890623,10.0
7,2.3033875732421873,10.0
8,2.3039029052734374,10.0
9,2.303386474609375,10.0
10,2.3032144287109375,10.0
11,2.3030272216796877,10.0
12,2.3028481689453124,10.0
13,2.303123486328125,10.0
14,2.303391259765625,10.0
15,2.3032063720703126,10.0
16,2.3034936767578125,10.0
17,2.302969287109375,10.0
18,2.30327587890625,10.0
19,2.303146826171875,10.0
20,2.3030243408203126,10.0
21,2.303016162109375,10.0
22,2.302881201171875,10.0
23,2.3027148193359377,10.0
24,2.3030306640625,10.0
25,2.3029980712890623,10.0
26,2.3033520751953125,10.0
27,2.3032943115234374,10.0
28,2.3030061767578127,10.0
29,2.3032792724609377,10.0
30,2.3032558349609373,10.0
