Epoch,Test Loss,Test Accuracy
1,2.3029559326171873,10.0
2,2.302836962890625,10.0
3,2.3028582275390623,10.0
4,2.302885107421875,10.0
5,2.3040326416015624,10.0
6,2.3029543701171873,10.0
7,2.3033524169921873,10.0
8,2.3037359375,10.0
9,2.3033399169921873,10.0
10,2.303172607421875,10.0
11,2.3030217529296877,10.0
12,2.302821337890625,10.0
13,2.303090234375,10.0
14,2.3033857177734376,10.0
15,2.3032056396484375,10.0
16,2.30349140625,10.0
17,2.3029535888671875,10.0
18,2.3032721435546875,10.0
19,2.3031388916015625,10.0
20,2.30302255859375,10.0
21,2.3029927978515623,10.0
22,2.3028714111328124,10.0
23,2.3027244384765626,10.0
24,2.303017138671875,10.0
25,2.3029479736328127,10.0
26,2.3033486083984376,10.0
27,2.3032791015625,10.0
28,2.302985400390625,10.0
29,2.3032390869140626,10.0
30,2.3032244873046874,10.0
