Epoch,Test Loss,Test Accuracy
1,2.3038602783203124,10.0
2,2.3040833251953123,10.0
3,2.304351025390625,10.0
4,2.30355810546875,10.0
5,2.3039001708984377,10.0
6,2.3032837158203123,10.0
7,2.3072255859375,10.0
8,2.303605322265625,10.0
9,2.3038268310546877,10.0
10,2.3032146484375,10.0
11,2.303167724609375,10.0
12,2.302801513671875,10.0
13,2.30312109375,10.0
14,2.304083837890625,10.0
15,2.3032469970703127,10.0
16,2.3033047119140626,10.0
17,2.306332421875,10.0
18,2.309499072265625,10.0
19,2.3029606689453126,10.0
20,2.3028162109375,10.0
21,2.3029575927734376,10.0
22,2.34422734375,10.0
23,2.310106005859375,10.0
24,2.3027865966796877,10.0
25,2.3060647705078123,10.0
26,2.3073649169921877,10.0
27,2.30285556640625,10.0
28,2.306226123046875,10.0
29,2.3743070068359375,10.0
30,2.3034249755859375,10.0
