Epoch,Test Loss,Test Accuracy
1,2.242272265625,14.46
2,1.9295482421875,22.5
3,1.6889602905273438,30.58
4,1.5787455322265624,40.34
5,1.3318173706054688,50.08
6,1.1531025146484375,57.33
7,1.1148075439453125,60.5
8,1.022988250732422,65.45
9,1.0386030578613281,66.41
10,0.8988558410644532,70.84
11,0.9805090148925781,69.97
12,0.8615405639648438,72.97
13,0.7907569030761719,75.6
14,0.8268345458984375,74.54
15,0.7722335021972656,76.69
16,0.7508084777832031,78.25
17,0.7885038940429687,78.32
18,0.80657138671875,78.32
19,0.9322383239746094,77.13
20,0.8600272827148437,78.3
21,0.8963940612792969,78.73
22,0.8453960754394532,80.09
23,0.8913063903808593,79.76
24,0.9877751220703125,75.93
25,0.8329411987304688,81.04
26,0.9497231750488281,78.91
27,0.942530517578125,80.02
28,1.0240872314453124,78.92
29,0.9562175537109375,79.82
30,0.9336485595703125,80.52
