Epoch,Test Loss,Test Accuracy
1,1.974481103515625,20.91
2,1.979618701171875,21.95
3,1.6527536254882813,35.42
4,1.5477463500976563,39.72
5,1.442041845703125,46.23
6,1.4154363891601562,48.44
7,1.3051133422851562,51.77
8,1.17933916015625,58.54
9,1.0808529663085937,61.61
10,1.0188887023925781,63.22
11,0.9783042541503906,66.56
12,0.8954173889160156,69.55
13,0.8927044738769532,69.78
14,0.8252097045898438,71.74
15,0.7861376525878906,73.74
16,0.7857313537597657,73.23
17,0.7664908996582032,74.6
18,0.7828689819335938,74.07
19,0.7116288208007813,77.18
20,0.7577215881347656,75.42
21,0.6975195556640625,77.07
22,0.6595573120117187,78.41
23,0.6526649536132813,78.9
24,0.6414921691894532,78.94
25,0.6167493408203125,80.25
26,0.6253575012207031,79.85
27,0.609979833984375,80.47
28,0.6336147644042969,80.25
29,0.5902249572753906,81.22
30,0.6250960388183594,80.83
