Epoch,Test Loss,Test Accuracy
1,2.302840771484375,10.0
2,2.3027946044921874,10.0
3,2.3028171630859373,10.0
4,2.3030708740234376,10.0
5,2.3026859375,10.0
6,2.3027075927734373,10.0
7,2.3026736328125,10.0
8,2.3028376708984375,10.0
9,2.302500830078125,10.0
10,2.3020453369140625,10.0
11,2.08233388671875,18.1
12,1.8432571044921875,24.55
13,1.7032343505859375,33.64
14,1.478856103515625,41.81
15,1.2986474487304687,50.39
16,1.131423291015625,58.93
17,0.9705903625488281,65.15
18,0.8603091857910157,69.25
19,0.8386422912597656,70.67
20,0.7826515258789063,72.63
21,0.7867459045410157,74.15
22,0.7545899536132813,75.62
23,0.8111885925292969,74.35
24,0.8054769958496094,75.56
25,0.8070753845214844,76.87
26,0.8259573669433594,77.52
27,0.9579565368652344,76.37
28,0.958344189453125,76.82
29,0.9925252624511719,76.94
30,1.0772715454101562,77.52
