Epoch,Test Loss,Test Accuracy
1,2.3029453857421873,10.0
2,2.3029497314453127,10.0
3,2.30319501953125,10.0
4,2.3040412109375,10.0
5,2.3031731201171874,10.0
6,2.303200439453125,10.0
7,2.3033383056640626,10.0
8,2.303434619140625,10.0
9,2.3027183837890624,10.0
10,2.3030789306640624,10.0
11,2.303098193359375,10.0
12,2.302976171875,10.0
13,2.3029532958984373,10.0
14,2.30322958984375,10.0
15,2.3030628662109374,10.0
16,2.3029923583984373,10.0
17,2.3031696044921874,10.0
18,2.3031452880859375,10.0
19,2.302946435546875,10.0
20,2.3030781005859375,10.0
21,2.303161572265625,10.0
22,2.303242041015625,10.0
23,2.3029192626953123,10.0
24,2.3032392333984375,10.0
25,2.3030473876953126,10.0
26,2.3031662109375,10.0
27,2.3033259033203124,10.0
28,2.3035458251953127,10.0
29,2.30302451171875,10.0
30,2.302918310546875,10.0
