Epoch,Test Loss,Test Accuracy
1,1.2539939331054688,55.61
2,0.8923256530761718,69.36
3,0.9959396789550782,67.13
4,0.7510615234375,75.06
5,0.7624501403808593,75.43
6,0.803717529296875,76.12
7,0.7561847595214843,76.7
8,0.8842746459960937,74.82
9,0.8124159057617187,76.89
10,0.9607286193847656,75.98
11,0.8503228637695313,77.77
12,0.9338163635253907,78.05
13,0.9159039978027343,77.79
14,0.9619097351074218,77.71
15,1.0020130310058595,78.52
16,1.1974601928710937,76.98
17,1.084688983154297,77.95
18,1.0403489318847656,78.9
19,1.0946625854492187,78.03
20,1.0505923400878907,78.87
21,1.1819724609375,78.88
22,1.1069524291992188,78.67
23,1.1696795715332031,77.99
24,1.203875732421875,78.54
25,1.0776116638183593,79.5
26,1.2616259155273437,78.41
27,1.178131494140625,78.78
28,1.2716614624023437,78.43
29,1.2409976013183595,79.34
30,1.2934017822265624,78.89
