Epoch,Test Loss,Test Accuracy
1,2.305484765625,10.0
2,2.3028822998046876,10.0
3,2.302850048828125,10.0
4,2.302892919921875,10.0
5,2.3039850830078126,10.0
6,2.3029582275390625,10.0
7,2.3033889404296874,10.0
8,2.30370283203125,10.0
9,2.3034403564453125,10.0
10,2.303217529296875,10.0
11,2.30302314453125,10.0
12,2.3028172119140624,10.0
13,2.3030965576171876,10.0
14,2.3033857177734376,10.0
15,2.303206103515625,10.0
16,2.3034907470703123,10.0
17,2.30295869140625,10.0
18,2.303273583984375,10.0
19,2.30314033203125,10.0
20,2.303027392578125,10.0
21,2.30300068359375,10.0
22,2.3028711669921873,10.0
23,2.3027198486328126,10.0
24,2.3030255615234374,10.0
25,2.3029726806640625,10.0
26,2.3033541015625,10.0
27,2.303278662109375,10.0
28,2.3029956298828127,10.0
29,2.30325517578125,10.0
30,2.3032261962890623,10.0
