Epoch,Accuracy,Test Loss,Layer Time,Total Time
1,44.25,1.5590264892578125,7.91724967956543,7.91724967956543
2,50.2,1.3890091918945313,7.740816593170166,15.658066272735596
3,52.68,1.338889501953125,7.707045078277588,23.365111351013184
4,55.57,1.2640803588867187,7.692927598953247,31.05803894996643
5,54.85,1.2762586791992188,7.74490213394165,38.80294108390808
6,57.84,1.18351787109375,7.60086464881897,46.40380573272705
7,57.15,1.2175718994140625,7.7501161098480225,54.15392184257507
8,59.82,1.1345710083007812,7.748815059661865,61.90273690223694
9,60.24,1.1348720458984376,7.7046849727630615,69.607421875
10,61.49,1.09343564453125,7.729101657867432,77.33652353286743
11,61.71,1.0924002807617188,7.66230583190918,84.99882936477661
12,61.58,1.0974312927246093,7.739107847213745,92.73793721199036
13,62.93,1.0700852905273437,7.671385049819946,100.4093222618103
14,63.07,1.0581273315429687,7.771560907363892,108.1808831691742
15,63.85,1.0462535278320313,7.703870534896851,115.88475370407104
16,63.92,1.0509232421875,7.76096773147583,123.64572143554688
17,63.09,1.0658836120605468,7.721301555633545,131.36702299118042
18,64.63,1.0453908569335937,7.802920818328857,139.16994380950928
19,63.03,1.093076385498047,7.5504069328308105,146.7203507423401
20,63.89,1.0742890197753907,7.371494293212891,154.09184503555298
21,63.92,1.08550888671875,7.382286310195923,161.4741313457489
22,64.52,1.0672524169921875,7.407465219497681,168.88159656524658
23,63.82,1.1174185180664062,7.388117790222168,176.26971435546875
24,64.34,1.1053722290039063,7.384256839752197,183.65397119522095
25,63.81,1.1390719360351562,7.385346412658691,191.03931760787964
26,64.44,1.1527210571289062,7.3861753940582275,198.42549300193787
27,64.06,1.1600453491210938,7.403459787368774,205.82895278930664
28,63.52,1.2212589111328125,7.383367538452148,213.2123203277588
29,63.96,1.233018310546875,7.390172958374023,220.6024932861328
30,63.41,1.3068757934570312,7.4012978076934814,228.0037910938263
31,63.65,1.31725556640625,7.400269269943237,235.40406036376953
32,63.4,1.35815615234375,7.376453161239624,242.78051352500916
33,62.24,1.4488288940429688,7.387898206710815,250.16841173171997
34,62.95,1.4592343872070312,7.388859748840332,257.5572714805603
35,63.59,1.5211919067382813,7.392982482910156,264.95025396347046
36,62.84,1.5593045776367187,7.394598484039307,272.34485244750977
37,62.58,1.6538666259765624,7.388982772827148,279.7338352203369
38,62.94,1.7271435546875,7.380357980728149,287.11419320106506
39,62.99,1.7854368408203125,7.380046367645264,294.4942395687103
40,62.65,1.861528955078125,7.38032603263855,301.8745656013489
41,62.63,1.9446363891601564,7.398645401000977,309.27321100234985
42,62.56,2.029229602050781,7.390625,316.66383600234985
43,62.01,2.13099150390625,7.393465042114258,324.0573010444641
44,61.93,2.1795903076171874,7.398653507232666,331.4559545516968
45,61.52,2.278552490234375,7.366414308547974,338.82236886024475
46,62.31,2.3113603637695315,7.399429559707642,346.2217984199524
47,61.9,2.444480810546875,7.397339105606079,353.6191375255585
48,62.12,2.492356103515625,7.404867172241211,361.0240046977997
49,61.6,2.5585428466796873,7.3951616287231445,368.4191663265228
50,62.22,2.6492524169921876,7.385406970977783,375.8045732975006
