Epoch,Test Loss,Test Accuracy,Time, Cumulative Time
1,1.5029476806640625,43.83,9.433514595031738,9.433514595031738
2,1.3473097290039062,50.53,9.216830968856812,18.65034556388855
3,1.2571130859375,54.97,9.814456462860107,28.464802026748657
4,1.2210416137695312,56.05,9.098195314407349,37.562997341156006
5,1.087879364013672,60.55,9.500446319580078,47.063443660736084
6,1.017970294189453,63.44,9.400131464004517,56.4635751247406
7,0.9996474914550781,64.01,8.934279441833496,65.3978545665741
8,0.9252096069335938,67.06,9.249092817306519,74.64694738388062
9,0.9310487915039063,67.71,8.80467963218689,83.4516270160675
10,0.893742919921875,68.56,9.003768920898438,92.45539593696594
11,0.8738056091308594,69.13,9.167956829071045,101.62335276603699
12,0.8913797912597656,69.27,9.031832933425903,110.65518569946289
13,0.8358676635742187,71.51,9.241244554519653,119.89643025398254
14,0.7931346130371094,72.56,9.14903712272644,129.04546737670898
15,0.7499978881835937,74.12,9.989237070083618,139.0347044467926
16,0.8087926025390625,72.3,9.30033254623413,148.33503699302673
17,0.7606810668945313,73.9,9.500530004501343,157.83556699752808
18,0.6927534057617187,76.14,9.074029445648193,166.90959644317627
19,0.7360754272460938,75.25,9.321592807769775,176.23118925094604
20,0.7161200012207031,75.75,9.079774618148804,185.31096386909485
21,0.6907122680664063,77.04,9.73112940788269,195.04209327697754
22,0.7299300659179687,76.17,9.361218690872192,204.40331196784973
23,0.6955057922363281,77.06,9.132025003433228,213.53533697128296
24,0.7122009887695312,76.89,9.096054077148438,222.6313910484314
25,0.7581190124511719,75.81,8.955869674682617,231.587260723114
26,0.7057581298828125,78.05,9.484055995941162,241.07131671905518
27,0.7740486389160156,76.36,9.868829727172852,250.94014644622803
28,0.8331013549804688,75.65,9.503288984298706,260.44343543052673
29,0.7737007568359375,76.86,9.446657419204712,269.89009284973145
30,0.8016733581542969,77.5,9.48518180847168,279.3752746582031
31,0.8571760925292968,76.26,8.801364660263062,288.1766393184662
32,0.9178182800292969,76.59,8.855114698410034,297.0317540168762
33,0.9050514221191406,77.09,9.57978367805481,306.61153769493103
34,0.9080504699707032,77.43,9.312519311904907,315.92405700683594
35,0.9178484924316406,77.83,9.234696865081787,325.1587538719177
36,0.9330065368652344,78.12,8.910121202468872,334.0688750743866
37,0.98264736328125,77.53,9.716589212417603,343.7854642868042
38,1.0704943908691407,78.38,9.234588384628296,353.0200526714325
39,1.1880122436523437,77.04,9.298892974853516,362.318945646286
40,1.1168847106933595,77.92,9.195335626602173,371.5142812728882
41,1.1074945678710937,76.91,9.058566570281982,380.57284784317017
42,1.185931689453125,77.35,9.17736029624939,389.75020813941956
43,1.1509876770019531,78.45,9.113525152206421,398.863733291626
44,1.2392326171875,77.94,9.02174186706543,407.8854751586914
45,1.1985416748046875,78.73,9.028677701950073,416.9141528606415
46,1.3982978515625,77.91,8.839633703231812,425.7537865638733
47,1.1926734924316407,78.44,8.902259111404419,434.6560456752777
48,1.1836719360351562,78.6,8.833263874053955,443.48930954933167
49,1.2960972534179687,78.01,8.865710020065308,452.355019569397
50,1.099589666748047,78.5,8.816153287887573,461.17117285728455
