Epoch,Test Loss,Test Accuracy, Time, Cumulative Time
1,2.0186886962890624,26.87,9.324647665023804,9.324647665023804
2,1.9225795776367187,29.29,9.26162314414978,18.586270809173584
3,1.9224590698242188,31.59,9.069237470626831,27.655508279800415
4,1.8566175048828124,32.54,9.206242322921753,36.86175060272217
5,1.8013185668945313,32.77,8.71149730682373,45.5732479095459
6,1.76757783203125,38.15,8.7009916305542,54.2742395401001
7,1.7206153442382812,37.94,9.090423107147217,63.364662647247314
8,1.7202639404296876,38.67,9.202779769897461,72.56744241714478
9,1.7115389526367188,38.77,9.165306329727173,81.73274874687195
10,1.6939066040039064,38.15,9.179272174835205,90.91202092170715
11,1.6408698852539063,39.24,9.122626304626465,100.03464722633362
12,1.6630895141601563,38.88,9.042005062103271,109.07665228843689
13,1.610898046875,40.13,8.911396026611328,117.98804831504822
14,1.6406202880859375,40.12,9.258394956588745,127.24644327163696
15,1.6090940185546876,40.58,9.106478691101074,136.35292196273804
16,1.6012203369140625,40.26,9.275390386581421,145.62831234931946
17,1.6584696044921876,40.52,9.076226234436035,154.7045385837555
18,1.5843353149414063,41.46,9.34706974029541,164.0516083240509
19,1.6124286254882811,40.49,9.162793159484863,173.21440148353577
20,1.6340647216796875,40.91,8.888128519058228,182.102530002594
21,1.59747001953125,42.08,9.131478071212769,191.23400807380676
22,1.6136836669921875,41.52,9.041918992996216,200.27592706680298
23,1.6178235473632812,41.35,8.859660625457764,209.13558769226074
24,1.6056826538085938,40.93,8.952585697174072,218.08817338943481
25,1.6559138061523437,39.85,8.642988443374634,226.73116183280945
26,1.637863134765625,41.49,8.702715396881104,235.43387722969055
27,1.667939208984375,40.62,8.626960515975952,244.0608377456665
28,1.7318164306640624,39.06,8.717241048812866,252.77807879447937
29,1.6947315673828125,40.19,8.527392625808716,261.3054714202881
30,1.72739189453125,40.16,8.524145364761353,269.82961678504944
31,1.7877033447265624,41.22,8.532206058502197,278.36182284355164
32,1.8730621459960937,39.48,8.568734645843506,286.93055748939514
33,1.9025490600585937,38.98,8.54303765296936,295.4735951423645
34,1.9551694946289062,38.24,8.577068567276001,304.0506637096405
35,1.9059762451171876,38.73,8.526938438415527,312.57760214805603
36,1.9421855346679688,39.58,8.501911163330078,321.0795133113861
37,2.0097314453125,39.23,8.620532989501953,329.70004630088806
38,2.0421143798828125,38.76,8.64618444442749,338.34623074531555
39,2.193865771484375,39.98,8.52230453491211,346.86853528022766
40,2.09373857421875,38.52,8.553438425064087,355.42197370529175
41,2.120247961425781,39.65,8.556238412857056,363.9782121181488
42,2.1271006103515626,40.63,8.520004510879517,372.4982166290283
43,2.139509375,40.2,8.561959028244019,381.06017565727234
44,2.1187873901367187,39.96,8.497803211212158,389.5579788684845
45,2.2491694091796877,38.97,8.505932092666626,398.0639109611511
46,2.302128503417969,38.23,8.830852508544922,406.89476346969604
47,2.2492243530273437,38.41,8.956106662750244,415.8508701324463
48,2.1865185546875,39.12,8.667553901672363,424.51842403411865
49,2.516259228515625,40.59,8.596407413482666,433.1148314476013
50,2.2792610107421876,37.61,8.839948892593384,441.9547803401947
