[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 2080 Ti
 Shmoo Mode

.............................................................................................................
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.0 GB/s, Time = 0.00002 s, Size = 1000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.2 GB/s, Time = 0.00001 s, Size = 2000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.2 GB/s, Time = 0.00001 s, Size = 3000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.3 GB/s, Time = 0.00001 s, Size = 4000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.5 GB/s, Time = 0.00001 s, Size = 5000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.5 GB/s, Time = 0.00001 s, Size = 6000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.6 GB/s, Time = 0.00001 s, Size = 7000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.7 GB/s, Time = 0.00001 s, Size = 8000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.7 GB/s, Time = 0.00001 s, Size = 9000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.8 GB/s, Time = 0.00001 s, Size = 10000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.7 GB/s, Time = 0.00002 s, Size = 11000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.8 GB/s, Time = 0.00001 s, Size = 12000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 0.8 GB/s, Time = 0.00002 s, Size = 13000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.1 GB/s, Time = 0.00001 s, Size = 14000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.2 GB/s, Time = 0.00001 s, Size = 15000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.2 GB/s, Time = 0.00001 s, Size = 16000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.4 GB/s, Time = 0.00001 s, Size = 17000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.4 GB/s, Time = 0.00001 s, Size = 18000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.4 GB/s, Time = 0.00001 s, Size = 19000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.5 GB/s, Time = 0.00001 s, Size = 20000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.6 GB/s, Time = 0.00001 s, Size = 22000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.7 GB/s, Time = 0.00001 s, Size = 24000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.9 GB/s, Time = 0.00001 s, Size = 26000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 1.9 GB/s, Time = 0.00002 s, Size = 28000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.2 GB/s, Time = 0.00001 s, Size = 30000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.0 GB/s, Time = 0.00002 s, Size = 32000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.2 GB/s, Time = 0.00002 s, Size = 34000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.2 GB/s, Time = 0.00002 s, Size = 36000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.5 GB/s, Time = 0.00002 s, Size = 38000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.6 GB/s, Time = 0.00002 s, Size = 40000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.7 GB/s, Time = 0.00002 s, Size = 42000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.7 GB/s, Time = 0.00002 s, Size = 44000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.9 GB/s, Time = 0.00002 s, Size = 46000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 2.9 GB/s, Time = 0.00002 s, Size = 48000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 3.0 GB/s, Time = 0.00002 s, Size = 50000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 3.3 GB/s, Time = 0.00002 s, Size = 60000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 3.7 GB/s, Time = 0.00002 s, Size = 70000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 4.0 GB/s, Time = 0.00002 s, Size = 80000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 4.2 GB/s, Time = 0.00002 s, Size = 90000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 4.7 GB/s, Time = 0.00002 s, Size = 100000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 5.9 GB/s, Time = 0.00003 s, Size = 200000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 6.3 GB/s, Time = 0.00005 s, Size = 300000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.1 GB/s, Time = 0.00006 s, Size = 400000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.2 GB/s, Time = 0.00007 s, Size = 500000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.5 GB/s, Time = 0.00008 s, Size = 600000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.6 GB/s, Time = 0.00009 s, Size = 700000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.8 GB/s, Time = 0.00010 s, Size = 800000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.8 GB/s, Time = 0.00012 s, Size = 900000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.8 GB/s, Time = 0.00013 s, Size = 1000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.0 GB/s, Time = 0.00025 s, Size = 2000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 7.9 GB/s, Time = 0.00038 s, Size = 3000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00049 s, Size = 4000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00062 s, Size = 5000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00074 s, Size = 6000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00086 s, Size = 7000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00099 s, Size = 8000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.0 GB/s, Time = 0.00112 s, Size = 9000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00124 s, Size = 10000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.0 GB/s, Time = 0.00137 s, Size = 11000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00149 s, Size = 12000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00160 s, Size = 13000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00173 s, Size = 14000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00184 s, Size = 15000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00198 s, Size = 16000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00222 s, Size = 18000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00246 s, Size = 20000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00270 s, Size = 22000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00296 s, Size = 24000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00317 s, Size = 26000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00345 s, Size = 28000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00366 s, Size = 30000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.1 GB/s, Time = 0.00393 s, Size = 32000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00437 s, Size = 36000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00488 s, Size = 40000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00538 s, Size = 44000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00586 s, Size = 48000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00634 s, Size = 52000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.3 GB/s, Time = 0.00677 s, Size = 56000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.3 GB/s, Time = 0.00727 s, Size = 60000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00776 s, Size = 64000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00874 s, Size = 72000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.00971 s, Size = 80000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.01069 s, Size = 88000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.4 GB/s, Time = 0.01141 s, Size = 96000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.2 GB/s, Time = 0.01267 s, Size = 104000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.3 GB/s, Time = 0.01357 s, Size = 112000000 bytes, NumDevsUsed = 1
bandwidthTest-H2D-Pinned-cudaMemcpy, Bandwidth = 8.3 GB/s, Time = 0.01454 s, Size = 120000000 bytes, NumDevsUsed = 1
