kernelNr,nElements,timeMs,BWGBs
10,1048576,0.07112,30.19519
10,2097152,0.12033,17.84662
10,4194304,0.22076,9.72768
10,8388608,0.42669,5.03289
10,16777216,0.83827,2.56180
10,33554432,3.30524,0.64972
10,67108864,6.49754,0.33051
10,134217728,12.91652,0.16626
10,268435456,25.75755,0.08337
10,536870912,51.55983,0.04165
11,1048576,0.07057,30.43052
11,2097152,0.12014,17.87484
11,4194304,0.21880,9.81482
11,8388608,0.42458,5.05790
11,16777216,0.83735,2.56462
11,33554432,3.26654,0.65742
11,67108864,6.45786,0.33254
11,134217728,12.91525,0.16628
11,268435456,25.75637,0.08338
11,536870912,51.56002,0.04165
