N,nBytes,Threads,Blocks,Single-pass,SingleGB/s,Multi-pass,MultiGB/s
1,4,1,1,0.005510,0.000726,0.005510,0.000726
1,4,1,1,0.005280,0.000758,0.005400,0.000741
1,4,1,1,0.005310,0.000753,0.005310,0.000753
1,4,1,1,0.005120,0.000781,0.005120,0.000781
1,4,1,1,0.005230,0.000765,0.005190,0.000771
1,4,1,1,0.005160,0.000775,0.005190,0.000771
1,4,1,1,0.005220,0.000766,0.005260,0.000760
1,4,1,1,0.005160,0.000775,0.005140,0.000778
1,4,1,1,0.005370,0.000745,0.005260,0.000760
1,4,1,1,0.005180,0.000772,0.005150,0.000777
1,4,1,1,0.005120,0.000781,0.005160,0.000775
1,4,1,1,0.005200,0.000769,0.005080,0.000787
1,4,1,1,0.005220,0.000766,0.005120,0.000781
1,4,1,1,0.005110,0.000783,0.005140,0.000778
1,4,1,1,0.005180,0.000772,0.005110,0.000783
1,4,1,1,0.005140,0.000778,0.005150,0.000777
1,4,1,1,0.005180,0.000772,0.005090,0.000786
1,4,1,1,0.005130,0.000780,0.005140,0.000778
1,4,1,1,0.005270,0.000759,0.005140,0.000778
1,4,1,1,0.005160,0.000775,0.005180,0.000772
2,8,1,1,0.005340,0.001498,0.005270,0.001518
2,8,1,1,0.005170,0.001547,0.005160,0.001550
2,8,1,1,0.005190,0.001541,0.005160,0.001550
2,8,1,1,0.005150,0.001553,0.005120,0.001563
2,8,1,1,0.005170,0.001547,0.005260,0.001521
2,8,1,1,0.005160,0.001550,0.005130,0.001559
2,8,1,1,0.005190,0.001541,0.005150,0.001553
2,8,1,1,0.005190,0.001541,0.005200,0.001538
2,8,1,1,0.005160,0.001550,0.005100,0.001569
2,8,1,1,0.005140,0.001556,0.005160,0.001550
2,8,1,1,0.005220,0.001533,0.005290,0.001512
2,8,1,1,0.005210,0.001536,0.005130,0.001559
2,8,1,1,0.005110,0.001566,0.005140,0.001556
2,8,1,1,0.005230,0.001530,0.005120,0.001563
2,8,1,1,0.005180,0.001544,0.005170,0.001547
2,8,1,1,0.005110,0.001566,0.005190,0.001541
2,8,1,1,0.005280,0.001515,0.005070,0.001578
2,8,1,1,0.005130,0.001559,0.005140,0.001556
2,8,1,1,0.005160,0.001550,0.005180,0.001544
2,8,1,1,0.005190,0.001541,0.005110,0.001566
4,16,2,1,0.005570,0.002873,0.005440,0.002941
4,16,2,1,0.005250,0.003048,0.005170,0.003095
