kernelNr,nElements,nBytes,datatype,timeMs,BWGBs
10,20971520,83886080,i,3.41095,0.62959
10,41943040,167772160,i,6.80640,0.31551
10,83886080,335544320,i,13.58803,0.15804
10,167772160,671088640,i,27.15229,0.07909
10,335544320,1342177280,i,54.27272,0.03957
11,20971520,83886080,i,3.41145,0.62949
11,41943040,167772160,i,6.80380,0.31563
11,83886080,335544320,i,13.58952,0.15802
11,167772160,671088640,i,27.15117,0.07909
11,335544320,1342177280,i,54.27052,0.03957
10,20971520,83886080,f,3.40943,0.62987
10,41943040,167772160,f,6.79986,0.31581
10,83886080,335544320,f,13.57908,0.15815
10,167772160,671088640,f,27.13191,0.07915
10,335544320,1342177280,f,54.23372,0.03960
11,20971520,83886080,f,3.40957,0.62984
11,41943040,167772160,f,6.79943,0.31583
11,83886080,335544320,f,13.57869,0.15815
11,167772160,671088640,f,27.13223,0.07915
11,335544320,1342177280,f,54.23418,0.03960
10,20971520,167772160,d,3.48472,0.61626
10,41943040,335544320,d,6.95362,0.30883
10,83886080,671088640,d,13.89701,0.15453
10,167772160,1342177280,d,27.77914,0.07731
11,20971520,167772160,d,3.48404,0.61638
11,41943040,335544320,d,6.95257,0.30888
11,83886080,671088640,d,13.89602,0.15454
11,167772160,1342177280,d,27.77729,0.07731
