histogram, binNum = 256, Throughput = 183990.9684 MB/s, Time = 0.00036 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 32, TestPassed = 0
histogram, binNum = 512, Throughput = 174744.4672 MB/s, Time = 0.00038 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 32, TestPassed = 0
histogram, binNum = 1024, Throughput = 159048.3567 MB/s, Time = 0.00042 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 32, TestPassed = 0
histogram, binNum = 2048, Throughput = 134314.4325 MB/s, Time = 0.00050 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 32, TestPassed = 0
histogram, binNum = 4096, Throughput = 102353.1435 MB/s, Time = 0.00066 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 32, TestPassed = 0
histogram, binNum = 8192, Throughput = 92794.3367 MB/s, Time = 0.00072 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 32, TestPassed = 0
histogram, binNum = 256, Throughput = 362398.0196 MB/s, Time = 0.00019 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 64, TestPassed = 0
histogram, binNum = 512, Throughput = 343443.5049 MB/s, Time = 0.00020 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 64, TestPassed = 0
histogram, binNum = 1024, Throughput = 310459.2266 MB/s, Time = 0.00022 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 64, TestPassed = 0
histogram, binNum = 2048, Throughput = 259950.6664 MB/s, Time = 0.00026 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 64, TestPassed = 0
histogram, binNum = 4096, Throughput = 194913.9222 MB/s, Time = 0.00034 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 64, TestPassed = 0
histogram, binNum = 8192, Throughput = 173005.5747 MB/s, Time = 0.00039 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 64, TestPassed = 0
histogram, binNum = 256, Throughput = 699050.6389 MB/s, Time = 0.00010 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 128, TestPassed = 0
histogram, binNum = 512, Throughput = 657672.0981 MB/s, Time = 0.00010 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 128, TestPassed = 0
histogram, binNum = 1024, Throughput = 591684.5702 MB/s, Time = 0.00011 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 128, TestPassed = 0
histogram, binNum = 2048, Throughput = 485873.6075 MB/s, Time = 0.00014 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 128, TestPassed = 0
histogram, binNum = 4096, Throughput = 352129.6149 MB/s, Time = 0.00019 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 128, TestPassed = 0
histogram, binNum = 8192, Throughput = 300801.7284 MB/s, Time = 0.00022 s, Size = 67108864 Bytes, NumDevsUsed = 1, Workgroup = 128, TestPassed = 0
